epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.33994,0.51604,2.07795,3.74906,1.02042,0,0.01078,0.73333,0.12947,0.12306,0.01076,0.72262,0.12784,0.12432,0.28538,0.50971,3.24111,0.81092,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,4.83887,0.449,1.93183,3.64199,0.99525,0,0.01611,0.83333,0.1563,0.15233,0.0162,0.85119,0.16619,0.16212,0.24546,0.5844,3.23315,0.8168,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,7.01016,0.41914,1.50046,3.53496,0.94807,0,0.02051,0.85119,0.2055,0.20348,0.02055,0.8631,0.20672,0.20351,0.26596,0.56263,3.20563,0.79817,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,9.19489,0.44711,0.98014,3.3053,0.95579,0,0.01743,0.89881,0.2165,0.21371,0.01743,0.89881,0.21681,0.21563,0.29071,0.56846,3.07112,0.79331,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,11.3834,0.47302,1.12524,3.04906,0.92893,0,0.01023,0.92262,0.31271,0.3012,0.01027,0.93452,0.31309,0.30708,0.36731,0.68442,2.85597,0.80392,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,13.4026,0.47415,1.36855,2.74409,0.94846,0,0.21698,0.45515,0.36564,0.35601,0.21698,0.45515,0.366,0.35276,0.37447,1.00834,2.49816,0.81101,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,15.4117,0.582,1.20431,2.53584,0.95742,0,0.76894,0.31434,0.49012,0.46743,0.76894,0.31434,0.49087,0.48403,0.3614,0.98509,2.37162,0.84835,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,17.2733,0.54799,1.14552,2.38918,0.94997,0,0.37308,0.44855,0.45875,0.42521,0.37308,0.44855,0.45917,0.45234,0.47304,0.90037,2.22638,0.88057,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,19.13,0.56021,1.15383,2.28608,0.96414,0,0.50539,0.66071,0.59625,0.56944,0.50539,0.66071,0.59625,0.58645,0.42068,0.78748,1.82033,0.87365,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,20.9913,0.59684,1.16495,2.0481,0.99199,0,0.3572,0.46853,0.42668,0.39785,0.3572,0.46853,0.43011,0.40623,0.54833,1.22548,2.10648,0.93149,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,22.6684,0.54952,1.09111,2.07891,0.95533,0,0.46568,0.54068,0.4591,0.44033,0.46568,0.54068,0.45992,0.44857,0.4249,0.95438,1.91808,0.88114,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,24.4997,0.64095,1.32563,2.06815,0.9818,0,0.36685,0.65528,0.4369,0.39607,0.36961,0.61641,0.41921,0.38221,0.54206,1.96993,2.13672,0.94978,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,26.1881,0.65105,1.1218,2.08381,0.98445,0,0.29403,0.61257,0.48616,0.44206,0.29403,0.61257,0.48616,0.45921,0.5848,1.6061,1.98602,0.96733,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,28.0362,0.62095,1.10593,1.87902,0.97962,0,0.50677,0.68946,0.57844,0.51052,0.50677,0.68946,0.57854,0.53508,0.55764,1.04658,2.61184,0.91192,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
15,29.7427,0.63012,1.30913,1.82827,0.97888,0,0.58012,0.40476,0.4041,0.37548,0.58012,0.40476,0.40445,0.34865,0.46122,1.32284,4.44292,0.87591,0,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228
16,31.7071,0.62628,1.10092,1.7674,0.98869,0,0.36305,0.46905,0.49733,0.42838,0.36409,0.48095,0.49414,0.3959,0.64224,2.01093,4.55548,0.97917,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
17,33.3895,0.63033,1.28991,1.82024,0.98771,0,0.44715,0.2534,0.22063,0.11579,0.77964,0.14286,0.11584,0.05432,1.41367,5.02675,5.15301,1.56087,0,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832
18,35.2505,0.65095,1.22496,1.69558,0.97877,0,0.8701,0.07143,0.02068,0.00508,0.86895,0.05952,0.01977,0.00762,1.99594,8.80664,13.3237,2.24315,0,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634
19,36.9392,0.58869,1.25623,1.7858,0.94684,0,0.39996,0.19643,0.1463,0.09552,0.43742,0.31996,0.17816,0.12589,1.19145,2.06914,4.85942,1.36146,0,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436
20,38.7856,0.65892,1.16306,1.71494,0.97261,0,0.46138,0.61839,0.5437,0.47939,0.40437,0.61345,0.50796,0.40406,0.691,3.87926,2.39169,1.02213,0,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238
21,40.4734,0.65058,1.11239,1.61598,0.98487,0,0.52242,0.57191,0.51706,0.4576,0.546,0.5979,0.5342,0.44998,0.7705,1.16429,3.51822,1.09847,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
22,42.3111,0.59139,1.09308,1.63967,0.97428,0,0.48949,0.54933,0.46562,0.40994,0.44372,0.57665,0.45807,0.38963,0.5824,1.55875,4.73519,0.94758,0,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842
23,43.9912,0.62767,1.27817,1.6318,0.97761,0,0.38926,0.45583,0.45469,0.38957,0.38926,0.45583,0.45393,0.37082,0.73156,2.36944,7.60847,1.05587,0,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644
24,45.8236,0.6343,0.89985,1.60602,0.96979,0,0.53926,0.55778,0.48512,0.40019,0.53926,0.55778,0.48675,0.44268,0.64159,1.36877,2.69754,0.97568,0,0.0298634,0.00995446,0.0298634,0.00995446,0.0298634,0.00995446,0.0298634,0.00995446
