epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.94022,0.43733,3.11742,7.1828,0.00717,12.8365,0.01027,0.56429,0.06087,0.05732,0.00347,0.53571,0.05254,0.046,0.10651,2.0886,3.15923,0.00231,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,6.98719,0.37721,2.66564,6.76451,0.00578,6.5029,0.01018,0.6,0.13696,0.13618,0.01451,0.64762,0.18779,0.16632,0.11617,0.73169,3.16083,0.00257,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,10.4881,0.36279,1.64484,6.52411,0.00511,3.71626,0.03871,0.68333,0.13661,0.13556,0.03871,0.68333,0.13661,0.1366,0.1325,0.30482,3.16589,0.00293,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,13.7852,0.38617,1.34809,6.74057,0.00611,3.2697,0.01417,0.84762,0.14459,0.1434,0.01417,0.84762,0.14459,0.14415,0.14017,0.28735,3.25474,0.00299,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,17.0891,0.42827,0.95043,6.60532,0.00727,2.52222,0.00673,1,0.29368,0.25589,0.00673,1,0.29368,0.29302,0.40101,0.5314,3.28926,0.00926,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,20.1699,0.43147,1.27143,6.02638,0.00716,2.10848,0.00598,1,0.26584,0.23916,0.00598,1,0.26584,0.26523,0.42833,0.40926,3.19934,0.00969,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,22.9867,0.47472,0.92523,5.60221,0.00809,1.91137,0.00565,1,0.38134,0.33769,0.00565,1,0.38134,0.37826,0.3059,0.45524,3.22063,0.00773,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,25.9442,0.55722,1.03441,5.59175,0.00981,1.80264,0.00447,1,0.60524,0.54682,0.00447,1,0.60524,0.60404,0.48685,0.27514,3.26298,0.01106,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,28.7809,0.65793,0.91605,5.43896,0.01111,1.56034,0.00375,1,0.46268,0.38861,0.00375,1,0.46268,0.45536,0.43267,0.46499,3.13597,0.01087,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,31.598,0.62035,0.96722,5.18181,0.01102,1.6402,0.00369,1,0.45588,0.40933,0.00369,1,0.45583,0.43637,0.55079,0.87297,2.9546,0.0129,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,34.1578,0.61845,0.72664,4.8975,0.01061,1.61031,0.87511,0.19497,0.4734,0.38542,0.87511,0.19497,0.4734,0.47123,0.74224,0.45021,2.81905,0.0193,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,37.114,0.70365,0.97173,4.42027,0.01334,1.40906,0.52006,0.52101,0.62335,0.52682,0.50258,0.51029,0.60358,0.59934,0.6356,0.9497,2.19983,0.01582,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,39.6784,0.62741,1.40547,4.30305,0.01041,1.30515,0.4136,0.53988,0.60123,0.47313,0.4136,0.53988,0.60051,0.55086,0.86391,0.9425,2.41888,0.02167,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,42.5041,0.60227,0.91275,3.75843,0.01011,1.50027,0.41267,0.49515,0.57612,0.52449,0.41267,0.49515,0.57612,0.56314,0.44516,0.69446,2.15004,0.01169,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
15,45.0764,0.62309,0.93731,3.87968,0.01102,1.29145,0.49945,0.56097,0.57449,0.48805,0.47371,0.53523,0.52762,0.50076,0.73785,1.16472,1.87657,0.01824,0,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228
16,47.9053,0.64535,1.05175,3.70433,0.01182,1.14054,0.52296,0.60372,0.62996,0.53782,0.52296,0.60372,0.62996,0.59121,0.74335,0.47243,1.64588,0.01758,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
17,50.6044,0.6067,1.04476,3.40202,0.01043,1.17348,0.6147,0.58384,0.7379,0.62872,0.6147,0.58384,0.7379,0.6932,0.55953,0.33723,1.4663,0.01338,0,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832
18,53.4476,0.58835,1.06956,3.11086,0.00969,1.16177,0.49824,0.70509,0.72016,0.60184,0.49824,0.70509,0.72016,0.69913,0.72633,0.35943,1.29641,0.01799,0,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634
19,56.012,0.56867,1.0946,3.07335,0.01029,1.09414,0.48566,0.56584,0.66525,0.56208,0.48566,0.56584,0.66525,0.63727,0.57577,0.18148,1.38356,0.01475,0,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436
20,58.8277,0.58627,0.85733,2.91686,0.00906,1.14248,0.57255,0.60386,0.69238,0.57948,0.57255,0.60386,0.69238,0.66043,0.69747,0.32019,1.3606,0.01726,0,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238
21,61.389,0.61528,0.71638,2.64974,0.01046,0.95609,0.79427,0.59684,0.723,0.60729,0.79427,0.59684,0.723,0.69732,0.78093,0.24379,1.2589,0.01865,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
22,64.3316,0.62916,0.84912,2.607,0.01092,0.93809,0.74761,0.48015,0.61563,0.50055,0.74761,0.48015,0.61563,0.60519,0.69346,0.65953,1.42587,0.01787,0,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842
