epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.5214,0.59165,3.21304,6.43459,0.00534,12.7654,0.00691,0.41071,0.02022,0.01947,0.01178,0.40357,0.02395,0.01851,0.36151,2.36642,3.27603,0.00235,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,30.7926,0.53651,2.75598,5.96709,0.00458,5.89684,0.0047,0.375,0.01885,0.01819,0.00487,0.41071,0.0195,0.01934,0.38729,1.05548,3.28018,0.00284,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,34.0558,0.48384,1.94991,5.98099,0.00446,3.42488,0.01876,0.51548,0.04664,0.0445,0.01876,0.51548,0.0517,0.04772,0.31883,0.62515,3.2814,0.00224,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,37.447,0.47873,1.31302,6.02526,0.00457,2.56908,0.01707,0.78095,0.09261,0.09127,0.01707,0.78095,0.09261,0.09194,0.31993,0.87553,3.3232,0.00273,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,40.7244,0.54831,1.44393,5.97001,0.00539,2.11197,0.00841,0.80357,0.24836,0.23925,0.00881,0.83929,0.24866,0.24842,0.40059,0.70104,3.3206,0.00396,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,43.769,0.49167,1.40289,5.37545,0.00472,1.90951,0.00613,0.92262,0.27261,0.24198,0.00613,0.92262,0.27261,0.26964,0.60227,0.9479,3.24522,0.00724,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,46.5708,0.59313,1.43797,4.90014,0.00614,1.76585,0.00503,0.92262,0.28977,0.25716,0.00507,0.94048,0.25335,0.25099,0.56227,0.98034,3.11909,0.00747,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,49.3766,0.57572,1.17944,5.11768,0.00651,1.74511,0.00481,0.92262,0.34907,0.2847,0.00481,0.92262,0.34907,0.31871,0.71888,0.9221,3.35107,0.01077,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,52.3178,0.65276,1.00578,4.71742,0.00706,1.52218,0.00534,0.94643,0.50141,0.41522,0.00534,0.94643,0.50141,0.45925,0.88945,0.49876,3.03939,0.0123,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,55.1378,0.74397,1.19825,4.45773,0.00776,1.4812,0.92849,0.08461,0.55269,0.48524,0.92849,0.08461,0.55104,0.52654,0.78555,0.52907,2.56762,0.01002,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,57.7107,0.77414,0.9174,4.5855,0.00871,1.32012,0.89844,0.16886,0.55267,0.44886,0.89844,0.16886,0.55267,0.51609,0.98845,0.56566,2.66811,0.01495,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,60.5137,0.73923,1.30962,3.85273,0.0074,1.43486,0.64125,0.26494,0.57189,0.52774,0.64125,0.26494,0.57189,0.55565,0.62694,0.72095,2.20272,0.00738,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,63.0813,0.68613,1.14871,3.91308,0.00677,1.36325,0.59501,0.36555,0.49556,0.4494,0.59501,0.36555,0.48984,0.47263,0.64025,1.02134,2.30207,0.00827,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,66.0116,0.69807,1.28039,3.49367,0.00737,1.39964,0.43294,0.52785,0.58517,0.50865,0.43294,0.52785,0.58517,0.58415,0.81449,1.02848,1.9663,0.01091,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
