model,experiment,precision_M,recall_M,f1_M,mAP50_M,mAP50-95_M,precision_B,recall_B,mAP50_B,mAP50-95_B
yolo11n-seg,no_augmentation,0.94873,1.0,0.9736905574399738,0.97848,0.97189,0.94873,1.0,0.97848,0.97189
yolo11n-seg,baseline,0.95524,1.0,0.977107669646693,0.98131,0.98131,0.95524,1.0,0.98131,0.98131
yolo11n-seg,moderate_geom,0.95363,1.0,0.9762646969999437,0.995,0.99332,0.95363,1.0,0.995,0.99332
yolo11n-seg,strong_geom,0.97054,1.0,0.9850497833081288,0.995,0.995,0.97054,1.0,0.995,0.995
yolo26n-seg,no_augmentation,0.95524,1.0,0.977107669646693,0.97973,0.94589,0.95524,1.0,0.97973,0.94589
yolo26n-seg,baseline,0.9686,1.0,0.984049578380575,0.995,0.97402,0.9686,1.0,0.995,0.97402
yolo26n-seg,moderate_geom,0.96974,1.0,0.9846375663793191,0.995,0.98737,0.96974,1.0,0.995,0.98737
yolo26n-seg,strong_geom,0.97008,1.0,0.9848127994802242,0.98321,0.95958,0.97008,1.0,0.98321,0.95958
