model,experiment,precision_M,recall_M,f1_M,mAP50_M,mAP50-95_M,precision_B,recall_B,mAP50_B,mAP50-95_B
yolo11n-seg_fruit_dataset_640,no_augmentation,0.98621,0.90091,0.9416321708211455,0.89118,0.86402,0.98621,0.87554,0.89118,0.86402
yolo11n-seg_fruit_dataset_640,baseline,0.98538,0.90091,0.9412536734012267,0.91479,0.86261,0.98031,0.89046,0.91479,0.86261
yolo11n-seg_fruit_dataset_640,moderate_geom,0.98508,0.88588,0.932850162911019,0.91831,0.87016,0.98508,0.87802,0.91831,0.87016
yolo11n-seg_fruit_dataset_640,strong_geom,0.97734,0.88588,0.9293652485482122,0.89904,0.85888,0.97734,0.86802,0.89904,0.85888
yolo11n-seg_fruit_dataset_640,strong_geom_fruit,0.98616,0.89339,0.9374855496262403,0.91051,0.87303,0.98616,0.87882,0.91051,0.87303
