epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20.8674,0.46659,1.60125,3.67947,1.02492,0,0.01285,0.90476,0.11523,0.09338,0.01285,0.90476,0.1115,0.0957,0.15316,0.31493,3.16676,0.81172,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,23.6886,0.36732,1.65529,3.58016,0.98884,0,0.02332,1,0.19095,0.18816,0.02332,1,0.19094,0.18865,0.11827,0.2968,3.15954,0.80325,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,25.8442,0.33428,1.18723,3.40394,0.9518,0,0.02335,0.95238,0.29419,0.29419,0.02335,0.95238,0.29419,0.29419,0.14465,0.29812,3.13013,0.80155,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,27.9908,0.32892,0.73275,3.19376,0.94583,0,0.01373,1,0.24711,0.24669,0.01373,1,0.24711,0.2444,0.19091,0.25132,2.98877,0.80576,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,30.1512,0.40802,0.87904,2.94966,0.94883,0,0.01026,1,0.27051,0.26763,0.01026,1,0.27051,0.27005,0.22745,0.31535,2.83187,0.81506,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,32.1409,0.40966,1.06547,2.61785,0.91034,0,0.00718,1,0.31498,0.30801,0.00718,1,0.31498,0.3128,0.23139,0.67768,2.76454,0.81766,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,33.9771,0.49961,1.0067,2.31339,0.96981,0,0.75139,0.07536,0.35246,0.34316,0.75139,0.07536,0.35246,0.34522,0.26335,0.94327,2.51787,0.87702,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,35.8161,0.42285,1.05055,2.21699,0.95127,0,0.85633,0.27143,0.45574,0.43558,0.82458,0.25357,0.42306,0.41664,0.38207,1.12329,2.16922,0.90769,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,37.7872,0.47807,0.88294,2.10926,0.94609,0,0.60372,0.5834,0.67521,0.57811,0.60372,0.5834,0.67521,0.65049,0.40621,0.3885,2.09689,0.91111,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,39.6368,0.5573,0.84049,2.07848,0.98178,0,0.44366,0.42906,0.43061,0.35637,0.44366,0.42906,0.43061,0.33129,0.6458,3.1778,2.24568,1.09963,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,41.3061,0.62297,0.89977,1.98631,1.01056,0,0.45676,0.67272,0.51923,0.45387,0.45676,0.67272,0.51923,0.4211,0.50901,1.92851,2.15392,1.01924,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,43.1434,0.54341,0.9147,1.94038,0.98257,0,0.28009,0.47586,0.35253,0.30059,0.27115,0.38062,0.31776,0.25247,0.7537,16.0855,3.2358,1.26882,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,44.8258,0.55345,0.96576,1.82919,0.98798,0,0.53217,0.44517,0.42721,0.36001,0.28659,0.56102,0.40629,0.3366,0.70193,2.77808,3.06426,1.17196,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,46.6605,0.59682,0.89986,1.62575,0.9818,0,0.47846,0.4881,0.48486,0.39493,0.47846,0.4881,0.49224,0.47271,0.52202,1.08867,6.91524,1.03921,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
15,48.3149,0.57873,0.98655,1.77177,1.01757,0,0.31966,0.34048,0.25076,0.14,0.45393,0.15833,0.15806,0.05849,2.88288,3.60233,10.4525,5.0013,0,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228
16,50.1371,0.52548,0.94182,1.73322,0.99606,0,0.57147,0.37462,0.4228,0.3213,0.57147,0.37462,0.4217,0.25374,1.32082,2.62614,4.57593,1.79903,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
17,51.8086,0.56726,0.95135,1.71677,0.98885,0,0.46356,0.44286,0.43851,0.41079,0.46356,0.44286,0.43855,0.39798,0.54643,1.72163,2.96952,1.01741,0,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832
18,53.7471,0.55286,1.14576,1.69964,0.98264,0,0.46493,0.38934,0.30519,0.13705,0.46493,0.38934,0.31687,0.22221,1.29123,1.70157,12.6797,1.8148,0,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634
19,55.4093,0.57636,1.01,1.56322,0.9983,0,0.50752,0.53638,0.42603,0.3568,0.50752,0.53638,0.42942,0.40321,0.48931,1.09738,3.75679,0.95216,0,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436
20,57.2336,0.60123,0.76272,1.49807,0.9775,0,0.65277,0.67682,0.69356,0.65832,0.54972,0.55805,0.56951,0.55812,0.35292,2.17843,3.70744,0.88567,0,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238
21,58.8947,0.48798,0.91441,1.40071,0.97188,0,0.79425,0.5,0.5853,0.48845,0.79425,0.5,0.5853,0.50082,0.52626,1.78216,4.63737,1.08554,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
22,60.7263,0.53842,0.77079,1.41654,0.98573,0,0.41673,0.62206,0.46584,0.39901,0.40981,0.6065,0.42934,0.39916,0.46196,1.36395,2.549,1.00685,0,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842
23,62.3869,0.52331,0.97356,1.46213,0.98956,0,0.43524,0.34132,0.27637,0.22959,0.42356,0.30589,0.2071,0.18873,0.55206,2.16526,2.87921,1.01801,0,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644
24,64.2004,0.49488,0.88942,1.56749,0.99997,0,0.52223,0.51985,0.32116,0.22359,0.50626,0.49929,0.29387,0.18322,1.30856,12.3051,4.93774,1.91281,0,0.0298634,0.00995446,0.0298634,0.00995446,0.0298634,0.00995446,0.0298634,0.00995446
25,65.8557,0.53486,0.73793,1.3688,0.95704,0,0.52234,0.53929,0.58739,0.52414,0.52234,0.53929,0.58636,0.42038,0.54889,6.21877,3.66063,1.1012,0,0.0298574,0.00995248,0.0298574,0.00995248,0.0298574,0.00995248,0.0298574,0.00995248
26,67.7981,0.56731,0.79204,1.35146,0.98826,0,0.48475,0.44654,0.54031,0.46133,0.43948,0.40011,0.4799,0.39977,0.61485,4.49549,3.05466,1.13699,0,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
27,69.4537,0.48942,0.86358,1.33195,0.99764,0,0.69192,0.71453,0.77967,0.68531,0.69192,0.71453,0.77967,0.77153,0.4565,0.34941,1.74083,0.97678,0,0.0298456,0.00994852,0.0298456,0.00994852,0.0298456,0.00994852,0.0298456,0.00994852
28,71.2907,0.56704,0.87695,1.35898,0.98719,0,0.38744,0.8869,0.73771,0.68489,0.38744,0.8869,0.73387,0.71101,0.46046,0.59383,1.81881,0.97752,0,0.0298396,0.00994654,0.0298396,0.00994654,0.0298396,0.00994654,0.0298396,0.00994654
29,72.9501,0.52652,0.83057,1.3611,0.98317,0,0.54775,0.82382,0.83597,0.75098,0.54775,0.82382,0.83597,0.80284,0.41987,0.47411,1.53495,0.96364,0,0.0298337,0.00994456,0.0298337,0.00994456,0.0298337,0.00994456,0.0298337,0.00994456
30,74.7841,0.51562,0.85695,1.21623,0.95597,0,0.40228,0.95238,0.8352,0.70347,0.40228,0.95238,0.8352,0.7049,0.42339,0.74699,1.4859,0.94763,0,0.0298277,0.00994258,0.0298277,0.00994258,0.0298277,0.00994258,0.0298277,0.00994258
31,76.4402,0.54245,0.8764,1.38146,0.9634,0,0.69927,0.43925,0.60142,0.47488,0.55273,0.54328,0.55445,0.36177,0.58296,5.09869,3.725,1.09341,0,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
32,78.2746,0.51975,0.75345,1.15261,0.96705,0,0.64111,0.75427,0.73958,0.68373,0.64111,0.75427,0.73958,0.72318,0.3963,0.43421,1.46423,0.87776,0,0.0298159,0.00993862,0.0298159,0.00993862,0.0298159,0.00993862,0.0298159,0.00993862
33,79.9314,0.53483,0.78215,1.11043,0.96473,0,0.62676,0.83534,0.81771,0.73865,0.62676,0.83534,0.81771,0.77985,0.38903,0.43512,1.27217,0.87864,0,0.0298099,0.00993664,0.0298099,0.00993664,0.0298099,0.00993664,0.0298099,0.00993664
34,81.7465,0.51271,0.66382,1.094,0.97035,0,0.24667,0.59424,0.49474,0.44929,0.24667,0.59424,0.49474,0.42695,0.56115,2.35523,2.55141,1.04437,0,0.029804,0.00993466,0.029804,0.00993466,0.029804,0.00993466,0.029804,0.00993466
35,83.5114,0.50616,0.72222,1.1459,0.97326,0,0.70555,0.79778,0.72389,0.67203,0.70555,0.79778,0.72779,0.6994,0.33558,0.61355,1.55644,0.87809,0,0.029798,0.00993268,0.029798,0.00993268,0.029798,0.00993268,0.029798,0.00993268
36,85.3381,0.50504,0.61574,1.00433,0.97533,0,0.66394,0.78752,0.84339,0.77743,0.66394,0.78752,0.84339,0.82315,0.44498,0.48673,1.00207,0.94084,0,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
37,86.9904,0.51718,0.61443,1.07186,0.96475,0,0.66855,0.8105,0.74486,0.71972,0.66855,0.8105,0.74486,0.73198,0.35906,0.48252,1.29374,0.89218,0,0.0297862,0.00992872,0.0297862,0.00992872,0.0297862,0.00992872,0.0297862,0.00992872
38,88.8067,0.50017,0.65164,0.97922,0.9639,0,0.7959,0.79912,0.89579,0.86568,0.7959,0.79912,0.87964,0.86422,0.31793,0.71434,0.84342,0.88417,0,0.0297802,0.00992674,0.0297802,0.00992674,0.0297802,0.00992674,0.0297802,0.00992674
39,90.4692,0.46104,0.78059,0.98494,0.93937,0,0.59014,0.96429,0.86179,0.83272,0.59014,0.96429,0.86179,0.86037,0.31214,0.2302,0.99755,0.84018,0,0.0297743,0.00992476,0.0297743,0.00992476,0.0297743,0.00992476,0.0297743,0.00992476
40,92.2732,0.44796,0.60451,0.96249,0.9555,0,0.72672,0.71993,0.83624,0.814,0.72672,0.71993,0.83624,0.83466,0.29824,0.28172,1.61308,0.82996,0,0.0297683,0.00992278,0.0297683,0.00992278,0.0297683,0.00992278,0.0297683,0.00992278
41,93.9434,0.50199,0.53899,1.01342,0.94826,0,0.73831,0.70782,0.81429,0.76437,0.73831,0.70782,0.80243,0.64867,0.39263,3.82509,1.12439,0.92188,0,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
42,95.7603,0.45937,0.67853,0.9665,0.96832,0,0.71413,0.71542,0.70905,0.68285,0.71413,0.71542,0.70905,0.65816,0.32281,1.18567,1.64176,0.88667,0,0.0297565,0.00991882,0.0297565,0.00991882,0.0297565,0.00991882,0.0297565,0.00991882
43,97.4241,0.43243,0.60456,0.9312,0.95056,0,0.8119,0.68813,0.82989,0.78377,0.8119,0.68813,0.82989,0.77211,0.37747,1.15137,1.71919,0.86331,0,0.0297505,0.00991684,0.0297505,0.00991684,0.0297505,0.00991684,0.0297505,0.00991684
44,99.3493,0.47653,0.83161,0.99643,0.96018,0,0.44794,0.73517,0.63664,0.59612,0.44794,0.73517,0.63664,0.57688,0.37857,1.1269,1.90945,0.92097,0,0.0297446,0.00991486,0.0297446,0.00991486,0.0297446,0.00991486,0.0297446,0.00991486
45,100.998,0.48353,0.69618,0.9723,0.95213,0,0.68588,0.88898,0.85946,0.83337,0.68588,0.88898,0.85946,0.83455,0.26558,0.37197,1.15255,0.83878,0,0.0297386,0.00991288,0.0297386,0.00991288,0.0297386,0.00991288,0.0297386,0.00991288
46,102.816,0.4291,0.62262,0.84682,0.93543,0,0.67257,0.94446,0.9425,0.87814,0.67257,0.94446,0.9425,0.91355,0.35073,0.43245,0.82957,0.86989,0,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
47,104.485,0.49803,0.68225,0.84335,0.92987,0,0.77507,0.86118,0.96395,0.94814,0.77507,0.86118,0.96395,0.95914,0.29162,0.41094,0.72229,0.84329,0,0.0297268,0.00990892,0.0297268,0.00990892,0.0297268,0.00990892,0.0297268,0.00990892
48,106.322,0.46228,0.78696,0.89109,0.95224,0,0.71758,0.72355,0.83208,0.79922,0.71758,0.72355,0.83208,0.80602,0.27361,0.45639,1.62223,0.84703,0,0.0297208,0.00990694,0.0297208,0.00990694,0.0297208,0.00990694,0.0297208,0.00990694
49,107.986,0.4598,0.88995,1.05336,0.96573,0,0.68754,0.93669,0.92592,0.91284,0.68754,0.93669,0.92592,0.92194,0.24674,0.18425,0.90596,0.82669,0,0.0297149,0.00990496,0.0297149,0.00990496,0.0297149,0.00990496,0.0297149,0.00990496
